appid,playtime_forever,playtime_windows_forever,playtime_mac_forever,playtime_linux_forever,playtime_deck_forever,rtime_last_played,playtime_disconnected,name,player_level
94590,0.0,0,0,0,0,0,0,Puzzle Agent 2,-1
107100,0.0,0,0,0,0,0,0,Bastion,-1
3830,0.0,0,0,0,0,0,0,Psychonauts,-1
201830,0.0,0,0,0,0,0,0,Jurassic Park: The Game,-1
6030,0.0,0,0,0,0,0,0,STAR WARS™ Jedi Knight II: Jedi Outcast™,-1
32400,0.0,0,0,0,0,0,0,STAR WARS™: Dark Forces,-1
32380,0.0,0,0,0,0,0,0,STAR WARS™ Jedi Knight: Dark Forces II,-1
31270,0.0,0,0,0,0,0,0,Puzzle Agent,-1
55100,0.0,0,0,0,0,0,0,Homefront,-1
20920,0.0,0,0,0,0,0,0,The Witcher 2: Assassins of Kings Enhanced Edition,-1
31280,0.0,0,0,0,0,0,0,Poker Night at the Inventory,-1
2362420,0.0,0,0,0,0,0,0,Mass Effect 2 (2010) Edition,-1
6020,0.0,0,0,0,0,0,0,STAR WARS™ Jedi Knight: Jedi Academy™,-1
32390,0.0,0,0,0,0,0,0,STAR WARS™ Jedi Knight: Mysteries of the Sith™,-1
320,0.0,0,0,0,0,0,0,Half-Life 2: Deathmatch,-1
360,0.0,0,0,0,0,0,0,Half-Life Deathmatch: Source,-1
1250,0.0,0,0,0,0,0,0,Killing Floor,-1
31220,0.0,0,0,0,0,0,0,Sam & Max 301: The Penal Zone,-1
8270,0.0,0,0,0,0,0,0,0,-1
8280,0.0,0,0,0,0,0,0,0,-1
238320,0.0,0,0,0,0,0,0,Outlast,-1
330830,0.0,0,0,0,0,0,0,Tales from the Borderlands,-1
48700,0.0,0,0,0,0,0,0,Mount & Blade: Warband,-1
214490,0.0,0,0,0,0,0,0,Alien: Isolation,-1
65930,0.0,0,0,0,0,0,0,The Bureau: XCOM Declassified,-1
234710,0.0,0,0,0,0,0,0,Poker Night 2,-1
210770,0.0,0,0,0,0,0,0,Sanctum 2,-1
250320,0.0,0,0,0,0,0,0,The Wolf Among Us,-1
31250,0.0,0,0,0,0,0,0,Sam & Max 304: Beyond the Alley of the Dolls,-1
31240,0.0,0,0,0,0,0,0,Sam & Max 303: They Stole Max's Brain!,-1
31260,0.0,0,0,0,0,0,0,Sam & Max 305: The City that Dares not Sleep,-1
8310,0.0,0,0,0,0,0,0,Bone: Out from Boneville,-1
218680,0.0,0,0,0,0,0,0,Scribblenauts Unlimited,-1
8320,0.0,0,0,0,0,0,0,Bone: The Great Cow Race,-1
230410,0.0,0,0,0,0,0,0,Warframe,-1
225260,0.0,0,0,0,0,0,0,Brütal Legend,-1
8300,0.0,0,0,0,0,0,0,0,-1
8290,0.0,0,0,0,0,0,0,0,-1
31230,0.0,0,0,0,0,0,0,Sam & Max 302: The Tomb of Sammun-Mak,-1
448510,0.0,0,0,0,0,0,0,Overcooked,-1
234140,0.0,0,0,0,0,0,0,Mad Max,-1
391540,0.0,0,0,0,0,0,0,Undertale,-1
429570,0.0,0,0,0,0,0,0,The Walking Dead: Michonne,-1
750920,0.0,0,0,0,0,0,0,Shadow of the Tomb Raider,-1
730,0.0,0,0,0,0,0,0,Counter-Strike 2,-1
427460,0.0,0,0,0,0,0,0,Battlerite Public Test,-1
504370,0.0,0,0,0,0,0,0,Battlerite,-1
1085660,0.0,0,0,0,0,0,0,Destiny 2,-1
1286830,0.0,0,0,0,0,0,0,STAR WARS™: The Old Republic™,-1
1224020,0.0,0,0,0,0,0,0,Creepy Tale,-1
271590,0.0,0,0,0,0,0,0,Grand Theft Auto V Legacy,-1
3240220,0.0,0,0,0,0,0,0,Grand Theft Auto V Enhanced,-1
