appid,name,playtime_forever,img_icon_url,playtime_windows_forever,playtime_mac_forever,playtime_linux_forever,playtime_deck_forever,rtime_last_played,content_descriptorids,playtime_disconnected,has_community_visible_stats,has_leaderboards,playtime_2weeks,player_level
12120,Grand Theft Auto: San Andreas,0.53,895e9391da2b8155989022d9dd95b12e09766375,0,0,7,7,1766342220,0,7,0,0,0.0,21
70,Half-Life,0.4,95be6d131fc61f145797317ca437c9765f24b41c,0,0,0,0,1499489342,"[2, 5]",0,0,0,0.0,21
1426210,It Takes Two,0.27,6b15f6d81c4fc52056f4928b363b7fac591a945b,16,0,0,0,1735164107,0,0,True,0,0.0,21
8000,Tomb Raider: Anniversary,0.25,13243b33c45bbde67ed6538641173e556548aac3,0,0,0,0,1511676526,0,0,0,0,0.0,21
291550,Brawlhalla,0.2,c43fac31b8bf8821764603a14d09412bc3d45f66,0,0,0,0,1490842659,0,0,True,0,0.0,21
500,Left 4 Dead,0.17,428df26bc35b09319e31b1ffb712487b20b3245c,0,0,0,0,1490160415,"[2, 5]",0,True,0,0.0,21
1172380,STAR WARS Jedi: Fallen Order™ ,0.13,0ea1d285a8ee6fbeef0e8f7f3b2d7fa4cbcb423b,0,0,8,8,1770895060,0,0,True,0,8.0,21
218620,PAYDAY 2,0.03,a6abc0d0c1e79c0b5b0f5c8ab81ce9076a542414,0,0,0,0,1498800445,"[2, 5]",0,True,0,0.0,21
8230,Sam & Max 104: Abe Lincoln Must Die!,0.0,b0358d1d0677eff960ae7ea474b2c1659850f4a2,0,0,0,0,0,0,0,0,0,0.0,21
448510,Overcooked,0.0,0f8cb2d03134bfbc0536dcc9a476d9ba3a1e67f5,0,0,0,0,0,0,0,True,0,0.0,21
429570,The Walking Dead: Michonne,0.0,f75fb34d85b69cf28c5e8283a52d40aa09a33b01,0,0,0,0,0,"[2, 5]",0,True,0,0.0,21
8240,Sam & Max 105: Reality 2.0,0.0,71f6aa0229ef7811891da0d329efc66a1ff50a57,0,0,0,0,0,0,0,0,0,0.0,21
409720,BioShock 2 Remastered,0.0,97527a02b36f8ac4aba21005c2d953cc908a08e1,0,0,0,0,0,[5],0,True,0,0.0,21
409710,BioShock Remastered,0.0,eb72262cd3ccc3219dd76392be3b60a4b6cbfd38,0,0,0,0,0,0,0,True,0,0.0,21
8250,Sam & Max 106: Bright Side of the Moon,0.0,b990384aaed21561b980f639e4304adfe94119c8,0,0,0,0,0,0,0,0,0,0.0,21
391540,Undertale,0.0,2ce672b89b63ec1e70d2f12862e72eb4a33e9268,0,0,0,0,0,0,0,0,0,0.0,21
8210,Sam & Max 102: Situation: Comedy,0.0,3a147dba083ba6afef23b62a663ffc400fd02af4,0,0,0,0,0,0,0,0,0,0.0,21
8260,Sam & Max 201: Ice Station Santa,0.0,883cbc08a6b43e4700beaa5b45d38cd37e67287a,0,0,0,0,0,0,0,0,0,0.0,21
8270,Sam & Max 202: Moai Better Blues,0.0,e3cc48139012d31287b6fe7fe977a3f995cb1c3b,0,0,0,0,0,0,0,0,0,0.0,21
8280,Sam & Max 203: Night of the Raving Dead,0.0,81d700cbfe6a6efa8d638f82c99e9f7468fa2250,0,0,0,0,0,0,0,0,0,0.0,21
330830,Tales from the Borderlands,0.0,620dbf286a2ef353c9c93e5b7c047027b18f1475,0,0,0,0,0,"[1, 2, 5]",0,True,0,0.0,21
8290,Sam & Max 204: Chariots of the Dogs,0.0,a953f143763395a867c4fec7abe03ec89120c1df,0,0,0,0,0,0,0,0,0,0.0,21
8300,Sam & Max 205: What's New Beelzebub?,0.0,ff4df5dbfcc2ca9d6fbdb5e5d37d48bce74e943d,0,0,0,0,0,0,0,0,0,0.0,21
8220,"Sam & Max 103: The Mole, the Mob and the Meatball",0.0,4597164a33a872bda12690f3381e341b5be3ed88,0,0,0,0,0,0,0,0,0,0.0,21
31260,Sam & Max 305: The City that Dares not Sleep,0.0,9e41c6d0c777cd0a7fb4e96da4f20d2227841725,0,0,0,0,0,0,0,0,0,0.0,21
553850,HELLDIVERS™ 2,0.0,c3dff088e090f81d6e3d88eabbb67732647c69cf,0,0,0,0,0,"[2, 5]",0,True,0,0.0,21
1250,Killing Floor,0.0,d8a2d777cb4c59cf06aa244166db232336520547,0,0,0,0,0,"[2, 5]",0,True,0,0.0,21
320,Half-Life 2: Deathmatch,0.0,795e85364189511f4990861b578084deef086cb1,0,0,0,0,0,"[2, 5]",0,0,0,0.0,21
360,Half-Life Deathmatch: Source,0.0,40b8a62efff5a9ab356e5c56f5c8b0532c8e1aa3,0,0,0,0,0,"[2, 5]",0,0,0,0.0,21
2362420,Mass Effect 2 (2010) Edition,0.0,0ffd2038ba90c573d5ba82290e8f193f1433090e,0,0,0,0,0,"[1, 2, 5]",0,0,0,0.0,21
1774580,STAR WARS Jedi: Survivor™,0.0,25578ffb2c6070c5d4e6569624efaadb8a0f5538,0,0,0,0,0,0,0,True,0,0.0,21
1436700,Trine 5: A Clockwork Conspiracy,0.0,3ef869db216460baed5dcd9caedc3d86510db597,0,0,0,0,0,0,0,True,0,0.0,21
1224020,Creepy Tale,0.0,d436365f006f8a247e37002d4563f6943e74c3c2,0,0,0,0,0,0,0,True,0,0.0,21
883710,Resident Evil 2,0.0,86ef2fdebeced746313994ccf2d7afb1f2887bf0,0,0,0,0,0,"[2, 5]",0,True,0,0.0,21
271590,Grand Theft Auto V Legacy,0.0,1e72f87eb927fa1485e68aefaff23c7fd7178251,0,0,0,0,0,[5],0,True,0,0.0,21
3830,Psychonauts,0.0,460b6471db7d83ee6943c1a87f7a9f2898634952,0,0,0,0,0,0,0,True,0,0.0,21
6020,STAR WARS™ Jedi Knight: Jedi Academy™,0.0,2e359a8df71ea18ddd77fda3f6b307e6e86ef910,0,0,0,0,0,0,0,0,0,0.0,21
6030,STAR WARS™ Jedi Knight II: Jedi Outcast™,0.0,7f6bf88e9eca8e206b3659fd52d1a07324ee27cb,0,0,0,0,0,0,0,0,0,0.0,21
7670,BioShock,0.0,9a7c9f640a76e6a32592277dbbc36a0f6da05372,0,0,0,0,0,0,0,0,0,0.0,21
690640,Trine 4: The Nightmare Prince,0.0,afe71b7d8dd5ceb78d971d1996266c6307ec5fd0,0,0,0,0,0,0,0,True,0,0.0,21
8200,Sam & Max 101: Culture Shock,0.0,5a50b3323f27700cfc9819aaffce64163e7baf71,0,0,0,0,0,0,0,0,0,0.0,21
617290,Remnant: From the Ashes,0.0,0fec2d481028011910bf6fc35c61d19386695128,0,0,0,0,0,"[2, 5]",0,True,0,0.0,21
8310,Bone: Out from Boneville,0.0,874f73d9ea6699ebc230288ee903f1ac5a27c1a1,0,0,0,0,0,0,0,0,0,0.0,21
31270,Puzzle Agent,0.0,d0cae0b07b2512302968bd7625a9bf12cebdfba8,0,0,0,0,0,0,0,0,0,0.0,21
31240,Sam & Max 303: They Stole Max's Brain!,0.0,bf1ebfe347a80e2ac31577e0569de3aa201cd17f,0,0,0,0,0,0,0,0,0,0.0,21
94610,Hector: Ep 2,0.0,0bfad503074efc1c46755d05d36be4755945f8fe,0,0,0,0,0,"[1, 2, 5]",0,0,0,0.0,21
94600,Hector: Ep 1,0.0,aa0a113e80b8cdeff47a523a87dd2fad1f43d73e,0,0,0,0,0,"[1, 2, 5]",0,0,0,0.0,21
94590,Puzzle Agent 2,0.0,d558eb6bddeb55f5f145822f3949ab50bc02aff9,0,0,0,0,0,0,0,True,0,0.0,21
31230,Sam & Max 302: The Tomb of Sammun-Mak,0.0,e83fbb799f46b349586ca55fcf612350cc88ffe7,0,0,0,0,0,0,0,0,0,0.0,21
